
Mon Mar 14 10:52:50 2022
42.42	0.015796	0.485507	0.030597	0.017437	0.063761	0.027385	0.015550	0.475833	0.030115	81
37.46	0.017581	0.440753	0.033813	0.018723	0.311890	0.035326	0.017565	0.436513	0.033771	86
33.27	0.017148	0.381767	0.032821	0.018738	0.282861	0.035147	0.017161	0.370547	0.032804	86
29.15	0.017167	0.334876	0.032659	0.019478	0.254074	0.036182	0.017165	0.322003	0.032593	84
25.12	0.017492	0.294109	0.033021	0.019326	0.214468	0.035457	0.017446	0.280676	0.032850	82
21.27	0.017728	0.252296	0.033128	0.019471	0.191902	0.035355	0.017714	0.238066	0.032975	82
17.71	0.018612	0.220638	0.034328	0.020878	0.141196	0.036377	0.018596	0.209091	0.034154	81
14.43	0.019899	0.192115	0.036062	0.020644	0.117816	0.035132	0.019933	0.184797	0.035984	80
11.58	0.021107	0.163593	0.037390	0.030014	0.099793	0.046149	0.021213	0.159327	0.037442	77
9.13	0.021896	0.133801	0.037633	0.019301	0.074825	0.030686	0.022183	0.133361	0.038039	76
7.15	0.022682	0.108490	0.037520	0.017983	0.054495	0.027042	0.023015	0.110778	0.038112	74
5.59	0.023104	0.086388	0.036458	0.018020	0.042513	0.025311	0.023424	0.089542	0.037134	71
4.39	0.022774	0.066975	0.033990	0.017879	0.024740	0.020757	0.022077	0.070445	0.033618	62
3.50	0.021868	0.051221	0.030650	0.018052	0.018857	0.018446	0.020560	0.054658	0.029880	58
2.82	0.021420	0.040394	0.027995	0.021017	0.013459	0.016410	0.019091	0.043680	0.026569	58
2.28	0.020999	0.032032	0.025367	0.021413	0.011901	0.015299	0.017838	0.034484	0.023513	51
1.84	0.020246	0.024938	0.022349	0.019299	0.010232	0.013373	0.017485	0.027827	0.021476	43
1.48	0.019692	0.019562	0.019627	0.026780	0.006759	0.010794	0.017706	0.022500	0.019817	41
1.25	0.021813	0.018293	0.019898	0.028469	0.002156	0.004009	0.020389	0.020696	0.020542	40
1.12	0.025605	0.019189	0.021938	0.030886	0.002324	0.004323	0.024843	0.020966	0.022740	40
1.05	0.032559	0.022922	0.026904	0.031749	0.002622	0.004845	0.032597	0.025596	0.028675	38
1.02	0.043934	0.030016	0.035665	0.025784	0.003173	0.005651	0.043828	0.033685	0.038093	37
1.01	0.063213	0.042634	0.050923	0.025222	0.006137	0.009872	0.063204	0.049379	0.055443	38
1.00	0.085501	0.057418	0.068701	0.024369	0.007142	0.011046	0.085462	0.066700	0.074925	36
1.00	0.111830	0.074890	0.089706	0.023672	0.010373	0.014425	0.111737	0.088986	0.099072	35
1.00	0.143925	0.096319	0.115405	0.023120	0.008964	0.012919	0.143925	0.116585	0.128820	35
1.00	0.195805	0.131039	0.157005	0.019759	0.010077	0.013347	0.195805	0.161362	0.176922	31
1.00	0.253152	0.169417	0.202988	0.020038	0.011019	0.014219	0.253152	0.211150	0.230251	30
1.00	0.312395	0.209064	0.250492	0.018455	0.010018	0.012986	0.312395	0.261068	0.284435	30
